Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C2, C9",0402,4,1uF,
"C11, C12, C13, C14, C15, C16, C17, C3, C4, C7, C8",0402,11,100nF,
"C5, C6",0402,2,15pF,
"J1, J2",USB_C_Receptacle_HRO_TYPE-C-31-M-12,2,USB_C_Receptacle_USB2.0_14P,
"R1, R7",0402,2,1k,
"R10, R11, R8, R9",0402,4,22,
"R2, R3, R5, R6",0402,4,5.1k,
SW1,SW-SMD_L3.9-W3.0-P4.45,1,SW_Push,
U1,SOT-23-5_L3.0-W1.6-P0.95-LS2.8-BR,1,SPX3819M5-L-3-3,C20617301
"U2, U3",XSON-8_L4.0-W4.0-P0.80-TL-EP,2,W25Q64JVXGIQ,
U4,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,ABM8-272-T3_C20625731,C20625731
U5,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
